label,dataset,mergeMode,vectorCount,numSegments,deleteRatio,mergedSize,wallMs,distanceComputations,recall,iters,mdr,epsRecall
smoke,RANDOM,FULL_REBUILD,2000,2,0.0,2000,227.70,3444192,0.9640,1,,
smoke,RANDOM,SMART_MERGE,2000,2,0.0,2000,125.83,1405051,0.9561,1,,
smoke,RANDOM,FULL_REBUILD,2000,2,0.2,1836,148.65,3031257,0.9700,1,,
smoke,RANDOM,SMART_MERGE,2000,2,0.2,1836,72.15,1509282,0.9708,1,,
smoke,SIFT,FULL_REBUILD,2000,2,0.0,2000,100.61,1433840,0.9958,1,,
smoke,SIFT,SMART_MERGE,2000,2,0.0,2000,40.44,492751,0.9950,1,,
smoke,SIFT,FULL_REBUILD,2000,2,0.2,1836,86.58,1274218,0.9965,1,,
smoke,SIFT,SMART_MERGE,2000,2,0.2,1836,40.93,579707,0.9967,1,,
baseline,RANDOM,FULL_REBUILD,200000,2,0.0,200000,53562.95,907412700,0.2787,2,,
baseline,RANDOM,SMART_MERGE,200000,2,0.0,200000,21243.34,309213388,0.2784,3,,
baseline,RANDOM,FULL_REBUILD,200000,2,0.2,184081,48960.02,830802250,0.2914,2,,
baseline,RANDOM,SMART_MERGE,200000,2,0.2,184081,20708.61,318120734,0.2910,3,,
baseline,RANDOM,FULL_REBUILD,200000,5,0.0,200000,55672.76,907412700,0.2787,2,,
baseline,RANDOM,SMART_MERGE,200000,5,0.0,200000,19953.94,296323984,0.2747,3,,
baseline,RANDOM,FULL_REBUILD,200000,5,0.2,184081,49875.05,830802250,0.2914,2,,
baseline,RANDOM,SMART_MERGE,200000,5,0.2,184081,20610.18,318120734,0.2910,3,,
baseline,RANDOM,FULL_REBUILD,512000,2,0.0,512000,189662.58,2439514737,0.1791,2,,
baseline,RANDOM,SMART_MERGE,512000,2,0.0,512000,67506.19,819847844,0.1788,3,,
baseline,RANDOM,FULL_REBUILD,512000,2,0.2,471107,151155.25,2236629296,0.1882,2,,
baseline,RANDOM,SMART_MERGE,512000,2,0.2,471107,61248.28,839169255,0.1856,3,,
baseline,RANDOM,FULL_REBUILD,512000,5,0.0,512000,167603.35,2439514737,0.1791,2,,
baseline,RANDOM,SMART_MERGE,512000,5,0.0,512000,68118.36,801616499,0.1784,3,,
baseline,RANDOM,FULL_REBUILD,512000,5,0.2,471107,151595.97,2236629296,0.1882,2,,
baseline,RANDOM,SMART_MERGE,512000,5,0.2,471107,63150.92,839169255,0.1856,3,,
baseline,SIFT,FULL_REBUILD,200000,2,0.0,200000,28713.61,385680389,0.9649,2,,
baseline,SIFT,SMART_MERGE,200000,2,0.0,200000,9542.69,114938654,0.9569,3,,
baseline,SIFT,FULL_REBUILD,200000,2,0.2,184081,26245.75,350743934,0.9636,2,,
baseline,SIFT,SMART_MERGE,200000,2,0.2,184081,10745.25,141074013,0.9633,3,,
baseline,SIFT,FULL_REBUILD,200000,5,0.0,200000,27971.26,385680389,0.9649,2,,
baseline,SIFT,SMART_MERGE,200000,5,0.0,200000,9113.37,114228237,0.9542,3,,
baseline,SIFT,FULL_REBUILD,200000,5,0.2,184081,26154.59,350743934,0.9636,2,,
baseline,SIFT,SMART_MERGE,200000,5,0.2,184081,10840.38,141074013,0.9633,3,,
baseline,SIFT,FULL_REBUILD,512000,2,0.0,512000,92608.48,1092066976,0.9446,2,,
baseline,SIFT,SMART_MERGE,512000,2,0.0,512000,30984.43,312875566,0.9331,3,,
baseline,SIFT,FULL_REBUILD,512000,2,0.2,471107,84857.97,997164108,0.9461,2,,
baseline,SIFT,SMART_MERGE,512000,2,0.2,471107,34164.70,381583074,0.9466,3,,
baseline,SIFT,FULL_REBUILD,512000,5,0.0,512000,94448.56,1092066976,0.9446,2,,
baseline,SIFT,SMART_MERGE,512000,5,0.0,512000,30296.88,309755890,0.9341,3,,
baseline,SIFT,FULL_REBUILD,512000,5,0.2,471107,85463.24,997164108,0.9461,2,,
baseline,SIFT,SMART_MERGE,512000,5,0.2,471107,35265.36,381583074,0.9466,3,,
igtm,RANDOM,SMART_MERGE,200000,2,0.0,200000,21054.97,303931041,0.2670,3,,
igtm,RANDOM,SMART_MERGE,200000,2,0.2,184081,21176.78,318120734,0.2910,3,,
igtm,RANDOM,SMART_MERGE,200000,5,0.0,200000,18090.47,289195135,0.2683,3,,
igtm,RANDOM,SMART_MERGE,200000,5,0.2,184081,18870.82,318120734,0.2910,3,,
igtm,RANDOM,SMART_MERGE,512000,2,0.0,512000,61059.56,810520612,0.1708,3,,
igtm,RANDOM,SMART_MERGE,512000,2,0.2,471107,63046.84,839169255,0.1856,3,,
igtm,RANDOM,SMART_MERGE,512000,5,0.0,512000,61303.05,787347133,0.1735,3,,
igtm,RANDOM,SMART_MERGE,512000,5,0.2,471107,65326.89,839169255,0.1856,3,,
igtm,SIFT,SMART_MERGE,200000,2,0.0,200000,9780.35,121005049,0.9405,3,,
igtm,SIFT,SMART_MERGE,200000,2,0.2,184081,10630.16,141074013,0.9633,3,,
igtm,SIFT,SMART_MERGE,200000,5,0.0,200000,9593.57,120265959,0.9526,3,,
igtm,SIFT,SMART_MERGE,200000,5,0.2,184081,10921.63,141074013,0.9633,3,,
igtm,SIFT,SMART_MERGE,512000,2,0.0,512000,30216.77,322056095,0.8836,3,,
igtm,SIFT,SMART_MERGE,512000,2,0.2,471107,39002.01,381583074,0.9466,3,,
igtm,SIFT,SMART_MERGE,512000,5,0.0,512000,33387.79,328621705,0.9293,3,,
igtm,SIFT,SMART_MERGE,512000,5,0.2,471107,35884.61,381583074,0.9466,3,,
fgim,RANDOM,SMART_MERGE,200000,2,0.0,200000,24910.61,343193665,0.2818,3,,
fgim,RANDOM,SMART_MERGE,200000,2,0.2,184081,19760.13,318120734,0.2910,3,,
fgim,RANDOM,SMART_MERGE,200000,5,0.0,200000,27957.31,388177954,0.2753,3,,
fgim,RANDOM,SMART_MERGE,200000,5,0.2,184081,19568.61,318120734,0.2910,3,,
fgim,RANDOM,SMART_MERGE,512000,2,0.0,512000,75863.30,904878030,0.1793,3,,
fgim,RANDOM,SMART_MERGE,512000,2,0.2,471107,62166.60,839169255,0.1856,3,,
fgim,RANDOM,SMART_MERGE,512000,5,0.0,512000,90869.38,1024221586,0.1821,3,,
fgim,RANDOM,SMART_MERGE,512000,5,0.2,471107,63788.19,839169255,0.1856,3,,
fgim,SIFT,SMART_MERGE,200000,2,0.0,200000,12725.07,141342646,0.9570,3,,
fgim,SIFT,SMART_MERGE,200000,2,0.2,184081,10504.26,141074013,0.9633,3,,
fgim,SIFT,SMART_MERGE,200000,5,0.0,200000,16004.77,173876772,0.9557,3,,
fgim,SIFT,SMART_MERGE,200000,5,0.2,184081,10815.08,141074013,0.9633,3,,
fgim,SIFT,SMART_MERGE,512000,2,0.0,512000,41868.15,383720109,0.9339,3,,
fgim,SIFT,SMART_MERGE,512000,2,0.2,471107,35518.11,381583074,0.9466,3,,
fgim,SIFT,SMART_MERGE,512000,5,0.0,512000,52465.28,472639220,0.9355,3,,
fgim,SIFT,SMART_MERGE,512000,5,0.2,471107,34362.80,381583074,0.9466,3,,
lazy-light,RANDOM,SMART_MERGE,200000,2,0.0,200000,17051.27,249570183,0.2281,3,,
lazy-light,RANDOM,SMART_MERGE,200000,2,0.2,184081,16097.99,265126265,0.2471,3,,
lazy-light,RANDOM,SMART_MERGE,200000,5,0.0,200000,16210.77,240897054,0.2289,3,,
lazy-light,RANDOM,SMART_MERGE,200000,5,0.2,184081,15621.43,265126265,0.2471,3,,
lazy-light,RANDOM,SMART_MERGE,512000,2,0.0,512000,58764.47,670315997,0.1506,3,,
lazy-light,RANDOM,SMART_MERGE,512000,2,0.2,471107,49955.29,708143358,0.1605,3,,
lazy-light,RANDOM,SMART_MERGE,512000,5,0.0,512000,52148.64,658938332,0.1502,3,,
lazy-light,RANDOM,SMART_MERGE,512000,5,0.2,471107,51281.30,708143358,0.1605,3,,
lazy-light,SIFT,SMART_MERGE,200000,2,0.0,200000,8955.11,105705409,0.9333,3,,
lazy-light,SIFT,SMART_MERGE,200000,2,0.2,184081,9826.72,132844635,0.9060,3,,
lazy-light,SIFT,SMART_MERGE,200000,5,0.0,200000,8716.09,107154759,0.9141,3,,
lazy-light,SIFT,SMART_MERGE,200000,5,0.2,184081,9817.72,132844635,0.9060,3,,
lazy-light,SIFT,SMART_MERGE,512000,2,0.0,512000,30001.85,285851532,0.9038,3,,
lazy-light,SIFT,SMART_MERGE,512000,2,0.2,471107,31862.67,357722168,0.8632,3,,
