algorithm,dataset,vectorCount,segments,deleteRatio,workers,distanceCount,wallMs,recall@100,MDR,epsRecall,initMs,repairMs,joinSetMs,insertMs,totalMs,heapBeforeMb,heapAfterMb,heapPeakMb,label,mergedSize,verify
SMART_MERGE,RANDOM,20000,2,0.0,1,25171002,1384.87,0.6322,1.0081,0.9437,10.97,0.00,37.28,1335.78,1373.06,21.1,157.1,157.1,smoke,20000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,RANDOM,20000,2,0.0,1,24340648,1136.90,0.6342,1.0081,0.9451,23.72,0.00,25.36,1087.31,1112.67,21.1,105.1,105.1,smoke,20000,igtm=5218/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
FGIM_P1,RANDOM,20000,2,0.0,1,28724207,1510.78,0.6349,1.0080,0.9503,13.70,0.00,21.15,1475.14,1496.30,21.1,177.1,177.1,smoke,20000,igtm=0/0 fgimCQ=5218 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
FGIM_P1P2,RANDOM,20000,2,0.0,1,151463708,9794.67,0.4985,1.0133,0.7625,3.77,0.00,20.09,1489.75,9790.87,21.1,422.4,422.4,smoke,20000,igtm=0/0 fgimCQ=5218 nnD=5/446214/5 repair=0/0/0/0 lazy=0/0
LAZY_LIGHT,RANDOM,20000,2,0.0,1,19808260,1059.94,0.4766,1.0146,0.7338,3.63,0.00,19.64,1001.29,1055.41,21.1,141.1,141.1,smoke,20000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=178411/33423
LAZY_THOROUGH,RANDOM,20000,2,0.0,1,62336211,2927.52,0.5164,1.0128,0.7939,3.50,0.00,19.74,998.17,2923.99,21.1,225.1,225.1,smoke,20000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=178411/17150
REPAIR,RANDOM,20000,2,0.0,1,25171002,1268.81,0.6322,1.0081,0.9437,3.65,0.00,20.40,1244.71,1265.13,21.1,157.1,157.1,smoke,20000,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
SMART_MERGE,RANDOM,20000,2,0.2,1,27152561,1379.66,0.6528,1.0075,0.9682,5.63,0.00,0.00,1373.98,1373.99,23.3,103.3,103.3,smoke,18417,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
IGTM_FIXED,RANDOM,20000,2,0.2,1,27152561,1370.29,0.6528,1.0075,0.9682,23.64,0.00,0.00,1346.00,1346.00,23.3,103.3,103.3,smoke,18417,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
FGIM_P1,RANDOM,20000,2,0.2,1,27152561,1273.74,0.6528,1.0075,0.9682,21.78,0.00,0.00,1251.33,1251.33,23.3,103.3,103.3,smoke,18417,igtm=0/0 fgimCQ=0 nnD=0/0/0 repair=0/0/0/0 lazy=0/0
